,ID,WAIC score,demographics,interaction effect,period order,report delay,trend order
0,40,138150.08047236828,True,True,1,False,3
1,6,139856.08435310164,True,True,3,True,2
2,35,151273.48957653943,True,True,4,False,1
3,65,163281.0232225126,True,False,2,True,1
4,26,138985.67913964903,False,True,3,True,3
5,5,140092.8646974664,True,True,2,True,2
6,28,138949.01690285205,False,True,1,True,4
7,111,138924.90405079705,True,False,4,False,4
8,71,141434.48173233247,True,False,4,True,2
9,48,152349.7759082732,False,True,1,False,1
10,120,143629.954272379,False,False,1,False,3
11,42,138226.8235388457,True,True,3,False,3
12,64,163306.91240743376,True,False,1,True,1
13,29,138907.02162207625,False,True,2,True,4
14,39,139914.77471301283,True,True,4,False,2
15,91,139934.20640125146,False,False,4,True,3
16,86,142984.07162475312,False,False,3,True,2
17,117,144384.33961596395,False,False,2,False,2
18,24,139519.53635267145,False,True,1,True,3
19,125,141644.93413298845,False,False,2,False,4
20,9,138074.97053999506,True,True,2,True,3
21,45,138063.7595503432,True,True,2,False,4
22,84,147314.68221937702,False,False,1,True,2
23,55,140632.92955689764,False,True,4,False,2
24,70,144778.33304106162,True,False,3,True,2
25,72,142568.77088155953,True,False,1,True,3
26,13,138065.6283733345,True,True,2,True,4
27,58,138890.11557866144,False,True,3,False,3
28,115,164885.48429198662,False,False,4,False,1
29,113,165109.70001852204,False,False,2,False,1
30,99,164013.34257640791,True,False,4,False,1
31,105,143272.23630011507,True,False,2,False,3
32,53,141038.33859125123,False,True,2,False,2
33,7,139659.5796900161,True,True,4,True,2
34,51,151599.47918231532,False,True,4,False,1
35,44,138128.39112396087,True,True,1,False,4
36,79,139121.6203904271,True,False,4,True,4
37,74,141100.02358365542,True,False,3,True,3
38,94,140596.63902324002,False,False,3,True,4
39,20,140934.6371338977,False,True,1,True,2
40,90,141873.81197359366,False,False,3,True,3
41,1,151350.74073789688,True,True,2,True,1
42,106,142573.31650514316,True,False,3,False,3
43,11,137904.03327901463,True,True,4,True,3
44,121,142974.7713279003,False,False,2,False,3
45,3,150895.96570545723,True,True,4,True,1
46,37,140320.19933263597,True,True,2,False,2
47,10,138666.20207746237,True,True,3,True,3
48,67,163046.78774920365,True,False,4,True,1
49,61,138954.06176750702,False,True,2,False,4
50,75,145059.02757189036,True,False,4,True,3
51,77,141357.1507308685,True,False,2,True,4
52,69,142085.72258075883,True,False,2,True,2
53,78,139372.3556934973,True,False,3,True,4
54,85,143172.4203241896,False,False,2,True,2
55,50,151787.62051236889,False,True,3,False,1
56,80,164165.86578931176,False,False,1,True,1
57,95,140374.31482211017,False,False,4,True,4
58,114,164961.47141190426,False,False,3,False,1
59,14,138005.6521693458,True,True,3,True,4
60,88,144083.46600035293,False,False,1,True,3
61,104,142458.7191641468,True,False,1,False,3
62,47,137736.21046275436,True,True,4,False,4
63,4,140173.08651606095,True,True,1,True,2
64,54,140842.12862199737,False,True,3,False,2
65,8,138122.7821186801,True,True,1,True,3
66,101,142719.52122697385,True,False,2,False,2
67,59,138847.4253787926,False,True,4,False,3
68,19,151208.02326629558,False,True,4,True,1
69,22,140599.36630375354,False,True,3,True,2
70,92,141229.90193005765,False,False,1,True,4
71,68,142305.37333015166,True,False,1,True,2
72,97,164257.2831263393,True,False,2,False,1
73,119,143080.3078439075,False,False,4,False,2
74,103,141914.8499470306,True,False,4,False,2
75,127,140214.57955248488,False,False,4,False,4
76,102,144720.2128088942,True,False,3,False,2
77,116,143920.14152501686,False,False,1,False,2
78,17,151642.37839298073,False,True,2,True,1
79,25,138998.47293224937,False,True,2,True,3
80,126,140222.94208842397,False,False,3,False,4
81,109,142393.1985201002,True,False,2,False,4
82,38,140131.59176963722,True,True,3,False,2
83,98,164100.90869985777,True,False,3,False,1
84,57,139337.32164091707,False,True,2,False,3
85,52,141224.11632867882,False,True,1,False,2
86,33,151753.2211795724,True,True,2,False,1
87,41,138263.1524294226,True,True,2,False,3
88,118,144992.514706337,False,False,3,False,2
89,0,151762.9000902764,True,True,1,True,1
90,16,152051.18278483,False,True,1,True,1
91,56,139244.85148149243,False,True,1,False,3
92,100,144728.43023817483,True,False,1,False,2
93,73,140347.3175246674,True,False,2,True,3
94,108,141032.78073546168,True,False,1,False,4
95,122,145241.86273572035,False,False,3,False,3
96,112,165178.87607028376,False,False,1,False,1
97,12,138320.16737140005,True,True,1,True,4
98,32,152056.29244016984,True,True,1,False,1
99,2,151113.97595228307,True,True,3,True,1
100,87,142600.08384553416,False,False,4,True,2
101,62,138578.6555032901,False,True,3,False,4
102,63,138673.4455963989,False,True,4,False,4
103,31,138559.1277102282,False,True,4,True,4
104,76,139427.1934737219,True,False,1,True,4
105,83,163924.36587462455,False,False,4,True,1
106,18,151421.6765041057,False,True,3,True,1
107,60,139002.34053327292,False,True,1,False,4
108,27,138861.18476410455,False,True,4,True,3
109,89,142701.01256282176,False,False,2,True,3
110,43,137857.01659772842,True,True,4,False,3
111,36,140501.7353878652,True,True,1,False,2
112,34,151468.38053625144,True,True,3,False,1
113,96,164324.95884391788,True,False,1,False,1
114,23,140412.12387158925,False,True,4,True,2
115,15,137494.29032706987,True,True,4,True,4
116,21,140835.01326362093,False,True,2,True,2
117,124,142439.06469313658,False,False,1,False,4
118,49,152058.91613305823,False,True,2,False,1
119,110,139053.16974743438,True,False,3,False,4
120,107,139077.95425201824,True,False,4,False,3
121,81,164137.70733417524,False,False,2,True,1
122,93,141430.23345354185,False,False,2,True,4
123,123,144208.64794403868,False,False,4,False,3
124,30,138709.51863328644,False,True,3,True,4
125,66,163160.69828970724,True,False,3,True,1
126,82,164023.31288279087,False,False,3,True,1
